" 72,00   "," 1,00   "," 80,00   "," 47,00   "," 6,00   "," 25,00   "," 13,00   "," 69,00   "," 3,00   "," 89,00   ",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
" 48,00   "," 92,00   "," 82,00   "," 37,00   "," 13,00   "," 27,00   "," 15,00   "," 100,00   "," 50,00   "," 19,00   ",,,,,,,,,,,,
" 78,00   "," 39,00   "," 9,00   "," 79,00   "," 59,00   "," 92,00   "," 56,00   "," 23,00   "," 1,00   "," 92,00   ",,,,,,,,,,,,
" 63,00   "," 57,00   "," 57,00   "," 82,00   "," 3,00   "," 61,00   "," 25,00   "," 74,00   "," 54,00   "," 72,00   ",,,,,,,,,,,,
" 61,00   "," 5,00   "," 57,00   "," 15,00   "," 98,00   "," 58,00   "," 43,00   "," 76,00   "," 7,00   "," 79,00   ",,,,,,,,,,,,
" 72,00   "," 55,00   "," 54,00   "," 74,00   "," 63,00   "," 55,00   "," 98,00   "," 20,00   "," 70,00   "," 96,00   ",,,,,,,,,,,,
" 39,00   "," 72,00   "," 78,00   "," 73,00   "," 91,00   "," 76,00   "," 97,00   "," 80,00   "," 56,00   "," 7,00   ",,,,,,,,,,,,
" 70,00   "," 35,00   "," 81,00   "," 14,00   "," 55,00   "," 64,00   "," 32,00   "," 23,00   "," 29,00   "," 100,00   ",,,,,,,,,,,,
" 42,00   "," 50,00   "," 20,00   "," 41,00   "," 4,00   "," 94,00   "," 35,00   "," 3,00   "," 41,00   "," 28,00   ",,,,,,,,,,,,
" 53,00   "," 61,00   "," 57,00   "," 79,00   "," 56,00   "," 12,00   "," 17,00   "," 60,00   "," 75,00   "," 63,00   ",,,,,,,,,,,,
" 7,00   "," 26,00   "," 25,00   "," 25,00   "," 32,00   "," 55,00   "," 23,00   "," 29,00   "," 1,00   "," 66,00   ",,,,,,,,,,,,
" 60,00   "," 76,00   "," 19,00   "," 96,00   "," 84,00   "," 15,00   "," 12,00   "," 55,00   "," 87,00   "," 24,00   ",,,,,,,,,,,,
" 54,00   "," 13,00   "," 21,00   "," 99,00   "," 45,00   "," 7,00   "," 32,00   "," 58,00   "," 75,00   "," 41,00   ",,,,,,,,,,,,
" 16,00   "," 87,00   "," 19,00   "," 14,00   "," 59,00   "," 11,00   "," 19,00   "," 84,00   "," 84,00   "," 32,00   ",,,,,,,,,,,,
" 54,00   "," 32,00   "," 84,00   "," 2,00   "," 44,00   "," 56,00   "," 21,00   "," 13,00   "," 81,00   "," 87,00   ",,,,,,,,,,,,
" 98,00   "," 16,00   "," 1,00   "," 46,00   "," 62,00   "," 19,00   "," 38,00   "," 76,00   "," 66,00   "," 31,00   ",,,,,,,,,,,,
" 40,00   "," 98,00   "," 4,00   "," 60,00   "," 68,00   "," 13,00   "," 23,00   "," 34,00   "," 34,00   "," 45,00   ",,,,,,,,,,,,
" 92,00   "," 61,00   "," 25,00   "," 36,00   "," 93,00   "," 74,00   "," 18,00   "," 30,00   "," 17,00   "," 34,00   ",,,,,,,,,,,,
" 28,00   "," 64,00   "," 75,00   "," 4,00   "," 22,00   "," 100,00   "," 24,00   "," 70,00   "," 32,00   "," 34,00   ",,,,,,,,,,,,
" 11,00   "," 12,00   "," 17,00   "," 85,00   "," 13,00   "," 94,00   "," 90,00   "," 79,00   "," 28,00   "," 41,00   ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
